"Bangalore Rural","Hoskote","Begur","223","G.H.P.S.Doddahullurahalli","Kannada","100","77.27","7","22","0","21","1","0","0","0","17","5"
"Bangalore Rural","Hoskote","Bendiganahalli","247","G.H.P.S.Bendiganahalli","Kannada","92.86","95.24","7","42","0","12","27","3","0","0","40","2"
"Bangalore Rural","Hoskote","Bendiganahalli","248","G.H.P.S.Gullahalli","Kannada","85.71","92.86","7","14","0","10","2","2","0","0","13","1"
"Bangalore Rural","Hoskote","Bendiganahalli","249","G.H.P.S.Doddaralagere","Kannada","100","91.67","7","12","0","7","5","0","0","0","11","1"
"Bangalore Rural","Hoskote","Bendiganahalli","250","G.H.P.S.T Agrahara","Kannada","88.89","100","7","9","0","1","7","1","0","0","9","0"
"Bangalore Rural","Hoskote","Bendiganahalli","251","G.H.P.S.Bhavapura","Kannada","85.71","85.71","7","14","0","5","7","2","0","0","12","2"
"Bangalore Rural","Hoskote","Devanagundi","188","G.H.P.S.Devangundi","Kannada","80.77","82.69","7","52","0","14","28","10","0","0","43","9"
"Bangalore Rural","Hoskote","Devanagundi","189","G.H.P.S.D Hosahalli","Kannada","100","100","7","6","0","0","6","0","0","0","6","0"
"Bangalore Rural","Hoskote","Devanagundi","190","G.H.P.S.D Dunnasandra","Kannada","91.18","85.29","7","34","0","12","19","3","0","0","29","5"
"Bangalore Rural","Hoskote","Devanagundi","191","G.H.P.S.Anugondanahalli","Kannada","100","100","7","15","0","7","8","0","0","0","15","0"
"Bangalore Rural","Hoskote","Devanagundi","192","G.H.P.S.Muthkur","Kannada","100","100","7","8","0","6","2","0","0","0","8","0"
"Bangalore Rural","Hoskote","Devanagundi","193","G.H.P.S.Medimallasandra","Kannada","50","50","7","2","0","1","0","1","0","0","1","1"
"Bangalore Rural","Hoskote","Hosakote","232","G.H.P.S.G G M S ","Kannada","54.32","77.78","7","81","0","20","24","37","0","0","63","18"
"Bangalore Rural","Hoskote","Hosakote","233","G.H.P.S.Kurubarapete","Kannada","100","100","7","17","0","9","8","0","0","0","17","0"
"Bangalore Rural","Hoskote","Hosakote","234","G.H.P.S.V V Extenion ","Kannada","77.33","84","7","75","0","25","33","17","0","0","63","12"
"Bangalore Rural","Hoskote","Hosakote","235","G.H.P.S.Doddagattiganabbe","Kannada","100","100","7","14","0","10","4","0","0","0","14","0"
"Bangalore Rural","Hoskote","Hosakote","236","G.H.P.S.Chikkagattiganabbe","Kannada","88.89","100","7","18","0","13","3","2","0","0","18","0"
"Bangalore Rural","Hoskote","Hosakote","237","G.H.P.S.Kannurahalli","Kannada","78.57","78.57","7","14","0","8","3","3","0","0","11","3"
"Bangalore Rural","Hoskote","Hosakote","238","G.H.P.S.Dandipalya","Kannada","72.22","72.22","7","18","0","12","1","5","0","0","13","5"
"Bangalore Rural","Hoskote","Hosakote","1056","KGKBMS Hoskote","Kannada","84.91","90.57","7","106","0","38","52","16","0","0","96","10"
"Bangalore Rural","Hoskote","Jadigenahalli","208","G.H.P.S.Jadigenahlli","Kannada","90","96.67","7","30","0","23","4","3","0","0","29","1"
"Bangalore Rural","Hoskote","Jadigenahalli","209","G.H.P.S.Orohalli","Kannada","81.82","86.36","7","22","0","10","8","4","0","0","19","3"
"Bangalore Rural","Hoskote","Jadigenahalli","210","G.H.P.S.Chikkataggi","Kannada","85","95","7","20","0","11","6","3","0","0","19","1"
"Bangalore Rural","Hoskote","Jadigenahalli","211","G.H.P.S.Tavatahalli","Kannada","88.89","100","7","9","0","8","0","1","0","0","9","0"
"Bangalore Rural","Hoskote","Jadigenahalli","212","G.H.P.S.Attivatta","Kannada","87.5","81.25","7","16","0","12","2","2","0","0","13","3"
"Bangalore Rural","Hoskote","Jadigenahalli","213","G.H.P.S.Soluru","Kannada","83.33","83.33","7","6","0","0","5","1","0","0","5","1"
"Bangalore Rural","Hoskote","Kalkunte","195","G.H.P.S.Kalkunte","Kannada","100","89.66","7","29","0","5","24","0","0","0","26","3"
"Bangalore Rural","Hoskote","Kalkunte","196","G.H.P.S.Bhgur","Kannada","100","100","7","3","0","2","1","0","0","0","3","0"
"Bangalore Rural","Hoskote","Kalkunte","197","G.H.P.S.Turuvaranga","Kannada","100","100","7","14","0","3","11","0","0","0","14","0"
"Bangalore Rural","Hoskote","Kalkunte","198","G.H.P.S.Narayanakere","Kannada","81.82","90.91","7","11","0","3","6","2","0","0","10","1"
"Bangalore Rural","Hoskote","Kalkunte","199","G.H.P.S.Gundur","Kannada","83.33","83.33","7","18","0","6","9","3","0","0","15","3"
"Bangalore Rural","Hoskote","Kalkunte","200","G.H.P.S.Maranagere","Kannada","84.62","84.62","7","13","0","4","7","2","0","0","11","2"
"Bangalore Rural","Hoskote","Kalkunte","201","G.H.P.S.Gangaluru","Kannada","60","80","7","5","0","2","1","2","0","0","4","1"
"Bangalore Rural","Hoskote","Nandagudi","459","G.H.P.S.Nandagudi","Kannada","47.62","66.67","7","21","0","4","6","11","0","0","14","7"
"Bangalore Rural","Hoskote","Nandagudi","460","G.H.P.S.Dharmeshwara","Kannada","100","100","7","6","0","2","4","0","0","0","6","0"
"Bangalore Rural","Hoskote","Nandagudi","461","G.H.P.S.Ettasandra","Kannada","100","100","7","12","0","9","3","0","0","0","12","0"
"Bangalore Rural","Hoskote","Nandagudi","462","G.H.P.S.E Hosahalli","Kannada","100","100","7","7","0","2","5","0","0","0","7","0"
"Bangalore Rural","Hoskote","Nandagudi","463","G.H.P.S.Anuppalli","Kannada","100","100","7","8","0","4","4","0","0","0","8","0"
"Bangalore Rural","Hoskote","Nandagudi","464","G.H.P.S.Hindiganahalli","Kannada","89.47","73.68","7","19","0","15","2","2","0","0","14","5"
"Bangalore Rural","Hoskote","Nelavagilu","452","G.H.P.S.Nelavagilu","Kannada","88.89","100","7","18","0","13","3","2","0","0","18","0"
"Bangalore Rural","Hoskote","Nelavagilu","453","G.H.P.S.Dalasagere","Kannada","100","75","7","12","0","11","1","0","0","0","9","3"
"Bangalore Rural","Hoskote","Nelavagilu","454","G.H.P.S.Chikkondahalli","Kannada","71.43","71.43","7","7","0","4","1","2","0","0","5","2"
"Bangalore Rural","Hoskote","Nelavagilu","455","G.H.P.S.Siddanahalli","Kannada","100","100","7","4","0","1","3","0","0","0","4","0"
"Bangalore Rural","Hoskote","Nelavagilu","456","G.H.P.S.Korate","Kannada","88.46","88.46","7","26","0","17","6","3","0","0","23","3"
"Bangalore Rural","Hoskote","Nelavagilu","457","G.H.P.S.Hedakanahalli","Kannada","76.92","80.77","7","26","0","17","3","6","0","0","21","5"
"Bangalore Rural","Hoskote","Nelavagilu","458","G.H.P.S.Karahalli","Kannada","100","91.67","7","12","0","4","8","0","0","0","11","1"
"Bangalore Rural","Hoskote","Samethanahalli","202","G.H.P.S.Samethanahalli","Kannada","70.97","87.1","7","31","0","16","6","9","0","0","27","4"
"Bangalore Rural","Hoskote","Samethanahalli","203","G.H.P.S.Muttasandra","Kannada","92","80","7","25","0","15","8","2","0","0","20","5"
"Bangalore Rural","Hoskote","Samethanahalli","204","G.H.P.S.K Mallsandra","Kannada","95.83","95.83","7","24","0","18","5","1","0","0","23","1"
"Bangalore Rural","Hoskote","Samethanahalli","205","G.H.P.S.Nadavatthi","Kannada","55","65","7","20","0","3","8","9","0","0","13","7"
"Bangalore Rural","Hoskote","Samethanahalli","207","G.H.P.S.Bodhenahosahalli","Kannada","93.55","93.55","7","31","0","15","14","2","0","0","29","2"
"Bangalore Rural","Hoskote","Shivanapura","259","G.H.P.S.Shivanapura","Kannada","67.14","88.57","7","70","0","17","30","23","0","0","62","8"
"Bangalore Rural","Hoskote","Shivanapura","260","G.H.P.S.Chikkanahalli","Kannada","83.33","91.67","7","12","0","2","8","2","0","0","11","1"
"Bangalore Rural","Hoskote","Shivanapura","261","G.H.P.S.Mugabala","Kannada","94","94","7","50","0","43","4","3","0","0","47","3"
"Bangalore Rural","Hoskote","Shivanapura","437","G.H.P.S.Kembaliganahalli","Kannada","100","94.12","7","17","0","15","2","0","0","0","16","1"
