"2013-14","Bangalore Rural","Hoskote","Begur","217","G.H.P.S.Sompura","Kannada","100","100","7","8","7","1","0","0","2","6","0","0"
"2013-14","Bangalore Rural","Hoskote","Begur","216","G.H.P.S.Dasarahalli","Kannada","68.42","94.74","7","19","0","3","10","6","0","15","3","1"
"2013-14","Bangalore Rural","Hoskote","Begur","215","G.H.P.S.Doddahullur","Kannada","71.11","82.22","7","45","3","7","22","13","10","17","10","8"
"2013-14","Bangalore Rural","Hoskote","Begur","214","G.H.P.S.Begur","Kannada","85","100","7","20","4","8","5","3","13","4","3","0"
"2013-14","Bangalore Rural","Hoskote","Bendiganahalli","251","G.H.P.S.Bhavapura","Kannada","77.78","88.89","7","9","0","1","6","2","3","4","1","1"
"2013-14","Bangalore Rural","Hoskote","Bendiganahalli","250","G.H.P.S.T Agrahara","Kannada","100","90.91","7","11","10","0","1","0","10","0","0","1"
"2013-14","Bangalore Rural","Hoskote","Bendiganahalli","249","G.H.P.S.Doddaralagere","Kannada","100","100","7","8","1","5","2","0","5","2","1","0"
"2013-14","Bangalore Rural","Hoskote","Bendiganahalli","248","G.H.P.S.Gullahalli","Kannada","100","100","7","6","0","1","5","0","2","3","1","0"
"2013-14","Bangalore Rural","Hoskote","Bendiganahalli","247","G.H.P.S.Bendiganahalli","Kannada","84","100","7","25","0","18","3","4","7","12","6","0"
"2013-14","Bangalore Rural","Hoskote","Devanagundi","193","G.H.P.S.Medimallasandra","Kannada","100","80","7","5","2","0","3","0","0","1","3","1"
"2013-14","Bangalore Rural","Hoskote","Devanagundi","192","G.H.P.S.Muthkur","Kannada","40","40","7","5","0","1","1","3","1","0","1","3"
"2013-14","Bangalore Rural","Hoskote","Devanagundi","191","G.H.P.S.Anugondanahalli","Kannada","100","100","7","7","1","5","1","0","5","0","2","0"
"2013-14","Bangalore Rural","Hoskote","Devanagundi","190","G.H.P.S.D Dunnasandra","Kannada","73.33","100","7","15","1","6","4","4","4","8","3","0"
"2013-14","Bangalore Rural","Hoskote","Devanagundi","189","G.H.P.S.D Hosahalli","Kannada","100","100","7","7","1","5","1","0","5","0","2","0"
"2013-14","Bangalore Rural","Hoskote","Devanagundi","188","G.H.P.S.Devangundi","Kannada","91.43","97.14","7","35","23","3","6","3","9","18","7","1"
"2013-14","Bangalore Rural","Hoskote","Hosakote","1056","KGKBMS Hoskote","Kannada","67.92","85.85","7","106","5","36","31","34","6","56","29","15"
"2013-14","Bangalore Rural","Hoskote","Hosakote","238","G.H.P.S.Dandipalya","Kannada","73.33","80","7","15","0","1","10","4","0","9","3","3"
"2013-14","Bangalore Rural","Hoskote","Hosakote","237","G.H.P.S.Kannurahalli","Kannada","100","83.33","7","6","2","3","1","0","4","1","0","1"
"2013-14","Bangalore Rural","Hoskote","Hosakote","236","G.H.P.S.Chikkagattiganabbe","Kannada","93.75","100","7","32","20","4","6","2","15","16","1","0"
"2013-14","Bangalore Rural","Hoskote","Hosakote","235","G.H.P.S.Doddagattiganabbe","Kannada","85.71","95.24","7","21","0","12","6","3","5","12","3","1"
"2013-14","Bangalore Rural","Hoskote","Hosakote","234","G.H.P.S.V V Extenion ","Kannada","97.5","90","7","40","7","29","3","1","19","10","7","4"
"2013-14","Bangalore Rural","Hoskote","Hosakote","233","G.H.P.S.Kurubarapete","Kannada","60","90","7","10","0","2","4","4","1","5","3","1"
"2013-14","Bangalore Rural","Hoskote","Hosakote","232","G.H.P.S.G G M S ","Kannada","74.68","75.95","7","79","1","1","57","20","8","33","19","19"
"2013-14","Bangalore Rural","Hoskote","Jadigenahalli","212","G.H.P.S.Attivatta","Kannada","66.67","93.33","7","15","0","6","4","5","4","7","3","1"
"2013-14","Bangalore Rural","Hoskote","Jadigenahalli","210","G.H.P.S.Chikkataggi","Kannada","91.67","100","7","12","1","5","5","1","4","8","0","0"
"2013-14","Bangalore Rural","Hoskote","Jadigenahalli","209","G.H.P.S.Orohalli","Kannada","60","80","7","10","1","0","5","4","2","3","3","2"
"2013-14","Bangalore Rural","Hoskote","Jadigenahalli","208","G.H.P.S.Jadigenahlli","Kannada","69.23","100","7","13","0","6","3","4","6","3","4","0"
"2013-14","Bangalore Rural","Hoskote","Kalkunte","201","G.H.P.S.Gangaluru","Kannada","37.5","100","7","8","0","3","0","5","3","2","3","0"
